ticker,conf,t045,t040,dt,wr045,wr040,dwr,pf045,pf040,dpf,sh045,sh040,dsh,r045,r040,dr,n_windows,avg_tpf,min_tpf
GC,BACKTESTABLE,1863,1869,6,0.534621578099839,0.5436062065275549,0.008984628427715857,0.0,0.0,0.0,7.439808680491101,11.45697632055514,4.01716764006404,1.0117907227017355,1.5282148551233232,0.5164241324215877,8,233.6,121
USDCHF,BACKTESTABLE,1846,1847,1,0.47941495124593714,0.48294531672983215,0.003530365483895015,0.0,0.0,0.0,2.6124898693501697,-0.22325384846086987,-2.8357437178110394,0.09661449038226222,-0.007564987342205676,-0.1041794777244679,8,230.9,101
USDCAD,BACKTESTABLE,1821,1835,14,0.4870950027457441,0.4904632152588556,0.003368212513111535,0.0,0.0,0.0,-1.3260289392766997,2.3008513601696863,3.626880299446386,-0.04004357918087775,0.07937523261008395,0.1194188117909617,8,229.4,101
ES,BACKTESTABLE,746,1098,352,0.435656836461126,0.44899817850637525,0.013341342045249227,0.0,0.0,0.0,-6.495005295837516,-7.934100509388068,-1.4390952135505515,-0.35576749111622286,-0.5535430247446869,-0.197775533628464,8,137.2,40
NQ,BACKTESTABLE,668,1089,421,0.4176646706586826,0.41597796143250687,-0.0016867092261757533,0.0,0.0,0.0,-8.102051567260805,-8.289566851191047,-0.1875152839302423,-0.6449285142917904,-0.9433823299724143,-0.2984538156806239,8,136.1,35
GBPCAD,BACKTESTABLE,1903,1933,30,0.4913294797687861,0.4857734092084842,-0.0055560705603018845,0.0,0.0,0.0,-1.3009156043694887,-3.042131043354123,-1.7412154389846342,-0.02332951694515628,-0.05334205940239112,-0.030012542457234836,8,241.6,126
NZDCAD,BACKTESTABLE,1569,1708,139,0.5047801147227533,0.5058548009367682,0.0010746862140148528,0.0,0.0,0.0,2.0795066148164185,3.2313302267267443,1.1518236119103258,0.0569186326373603,0.0855753575914292,0.028656724954068902,8,213.5,115
DJI,BACKTESTABLE,1840,1850,10,0.4597826086956522,0.46054054054054056,0.000757931844888371,0.0,0.0,0.0,-14.48546536975669,-12.627150357661474,1.8583150120952165,-0.6806083713038567,-0.6905752236409575,-0.009966852337100818,8,231.2,121
NZDUSD,BACKTESTABLE,1863,1919,56,0.5040257648953301,0.5007816571130798,-0.0032441077822503717,0.0,0.0,0.0,0.5970619097094985,1.079162694534806,0.4821007848253076,0.02135141217103176,0.03185783714152157,0.010506424970489814,8,239.9,126
GBPAUD,BACKTESTABLE,1932,1933,1,0.5067287784679089,0.5054319710294879,-0.0012968074384209771,0.0,0.0,0.0,-3.260197805450904,-2.2671353572119064,0.9930624482389976,-0.09934871956097291,-0.06686216121878952,0.03248655834218339,8,241.6,126
NZDCHF,BACKTESTABLE,1877,1932,55,0.5130527437400106,0.5098343685300207,-0.00321837520998991,0.0,0.0,0.0,14.576222322656701,11.467237799146076,-3.1089845235106246,0.578883440740974,0.547947198972417,-0.030936241768557027,8,241.5,126
CADCHF,BACKTESTABLE,1900,1909,9,0.5105263157894737,0.5123101100052383,0.001783794215764578,0.0,0.0,0.0,7.275804176260511,7.899071403923807,0.6232672276632956,0.2525091972317661,0.31110671646574406,0.058597519233977935,8,238.6,126
AUDUSD,BACKTESTABLE,1855,1912,57,0.5040431266846361,0.5010460251046025,-0.0029971015800336342,0.0,0.0,0.0,0.50343018899342,-0.3922862214284182,-0.8957164104218381,0.02068464067817599,-0.012357384217945744,-0.033042024896121736,8,239.0,126
EURCHF,BACKTESTABLE,1929,1934,5,0.5095904613789528,0.5129265770423992,0.0033361156634463818,0.0,0.0,0.0,3.6956987927121574,8.450813191930242,4.755114399218085,0.06640608664619485,0.1478853076850144,0.08147922103881955,8,241.8,126
EURCAD,BACKTESTABLE,1935,1935,0,0.4888888888888889,0.5012919896640827,0.012403100775193854,0.0,0.0,0.0,-1.9294191855778662,6.043748128014513,7.973167313592379,-0.051202264879632975,0.14936884322083543,0.2005711081004684,8,241.9,126
EURNZD,BACKTESTABLE,1933,1935,2,0.48784273150543195,0.48630490956072353,-0.0015378219447084174,0.0,0.0,0.0,-2.290997815225156,-3.6128108408609245,-1.3218130256357683,-0.06231784199503676,-0.0880390364684962,-0.02572119447345944,8,241.9,126
GBPCHF,BACKTESTABLE,1927,1933,6,0.49403217436429686,0.4976720124159338,0.0036398380516369233,0.0,0.0,0.0,0.7173791060434704,3.41498736324076,2.69760825719729,0.019946311859262433,0.11675705460244779,0.09681074274318535,8,241.6,126
GBPUSD,BACKTESTABLE,1934,1934,0,0.49431230610134436,0.49276111685625645,-0.0015511892450879028,0.0,0.0,0.0,-10.219074019843656,-2.143245522977408,8.075828496866249,-0.17280969810132063,-0.051955949654980293,0.12085374844634034,8,241.8,126
EURAUD,BACKTESTABLE,1846,1846,0,0.537919826652221,0.5465872156013001,0.008667388949079036,0.0,0.0,0.0,15.793380772653569,29.969832066190648,14.17645129353708,0.5221396855073955,0.7438094233922937,0.2216697378848982,8,230.8,101
USDJPY,BACKTESTABLE,1847,1847,0,0.4704926908500271,0.476448294531673,0.005955603681645882,0.0,0.0,0.0,-3.326541762216726,-2.8466574022176765,0.47988435999904944,-0.14129836518575,-0.0883544086259509,0.05294395655979911,8,230.9,101
GBPJPY,BACKTESTABLE,1844,1846,2,0.4793926247288503,0.4848320693391116,0.0054394446102613014,0.0,0.0,0.0,-1.2799782937942155,0.39711816750023415,1.6770964612944497,-0.08273464484760484,0.02971396492290157,0.11244860977050641,8,230.8,101
